,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,hambantota,6.12,81.12,78.42,83,78,8.79,LK,1605386960
1,forest,37.36,-79.29,61.27,36,1,5.82,US,1605386960
2,bowen,-20.02,148.23,73.4,94,90,3.36,AU,1605386961
3,hilo,19.73,-155.09,72.46,73,90,6.93,US,1605386706
4,cap malheureux,-19.98,57.61,73.99,80,60,1.99,MU,1605386961
5,port blair,11.67,92.75,80.4,80,4,11.95,IN,1605386961
6,arraial do cabo,-22.97,-42.03,78.8,83,40,6.93,BR,1605386662
7,bandarbeyla,9.49,50.81,76.08,76,0,13.02,SO,1605386781
8,severo-kurilsk,50.68,156.12,39.61,84,85,11.05,RU,1605386714
9,rikitea,-23.12,-134.97,75.87,83,77,17.34,PF,1605386961
10,puerto ayora,-0.74,-90.35,74.46,73,20,6.93,EC,1605386920
11,mataura,-46.19,168.86,63.0,69,100,5.99,NZ,1605386763
12,morehead,37.27,-87.18,60.49,44,90,5.82,US,1605386724
13,fortuna,40.6,-124.16,54.55,76,20,6.93,US,1605386882
14,portland,45.52,-122.68,45.88,93,90,8.05,US,1605386777
15,punta arenas,-53.15,-70.92,51.8,64,75,35.57,CL,1605386962
16,bluff,-46.6,168.33,63.0,69,100,5.99,NZ,1605386962
17,yarensk,62.17,49.09,20.48,97,100,5.48,RU,1605386963
18,yellowknife,62.46,-114.35,6.8,77,90,5.82,CA,1605386963
19,new norfolk,-42.78,147.06,51.73,72,35,1.01,AU,1605386963
20,busselton,-33.65,115.33,46.8,98,1,12.8,AU,1605386963
21,georgetown,5.41,100.34,76.59,100,20,6.38,MY,1605386963
22,lompoc,34.64,-120.46,63.64,55,1,13.87,US,1605386793
23,saint anthony,45.02,-93.22,35.85,89,90,14.99,US,1605386770
24,aklavik,68.22,-135.01,3.2,77,75,5.82,CA,1605386695
25,bathsheba,13.22,-59.52,84.2,74,40,4.7,BB,1605386964
26,vardo,70.37,31.11,40.75,84,98,28.36,NO,1605386683
27,nikolskoye,59.7,30.79,31.66,96,75,4.47,RU,1605386678
28,sao joao da barra,-21.64,-41.05,80.6,78,75,16.11,BR,1605386964
29,gazli,40.13,63.45,31.24,85,0,7.38,UZ,1605386964
